Term_Translated,Campus,Subject,Subject_Name,Course_Title,Description,Units,Units_Min,Units_Max,Prerequisites,Cross_Listing,Course Name
Winter Quarter 2226,UCSC,AM,Applied Mathematics,Reading Research Papers in Applied Mathematics,"Introduces students to current research literature in various fields of applied mathematics. Students are assigned to read each week one recent research paper by an AM faculty or adjunct faculty, and must prepare questions on the topic to discuss with the faculty. May be repeated for credit.",2 units,2,2,Prerequisite(s): AM 100 or AM 114 or AM 129. Enrollment is restricted to applied mathematics majors and minors.,,180
Winter Quarter 2226,UCSC,AM,Applied Mathematics,Numerical Methods for the Solution of Differential Equations,"Introduces the numerical solutions of ordinary and partial differential equations (ODEs and PDEs). Focuses on the derivation of discrete solution methods for a variety of differential equations, and their stability and convergence. Also provides hands-on experience in implementing such numerical algorithms for the solution of engineering and scientific problems using MATLAB software. The class consists of lectures and hands-on programming sections. Basic mathematical knowledge of ODEs and PDEs is assumed, and a basic working knowledge of programming in MATLAB is expected. (Formerly AMS 213B.)",5 units,5,5,Enrollment is restricted to graduate students.,,213B
Winter Quarter 2226,UCSC,AM,Applied Mathematics,Numerical Optimization,"Introduces numerical optimization tools widely used in engineering, science, and economics. Topics include: line-search and trust-region methods for unconstrained optimization, fundamental theory of constrained optimization, simplex and interior-point methods for linear programming, and computational algorithms for nonlinear programming. (Formerly AMS 230.)",5 units,5,5,Basic knowledge of linear algebra is assumed. Enrollment is restricted to graduate students. Undergraduates may enroll by permission of the instructor.,,230
Winter Quarter 2226,UCSC,AM,Applied Mathematics,Advanced Scientific Machine Learning,"Advanced scientific machine learning class, where students learn how to build models of real-life systems from data, e.g., fluid, weather/climate, biological processes, ecology, using machine learning tools seamlessly blended with the theories of ordinary differential equations. This course is in-person and includes in-class programming exercises to gain expertise by practice. Taught in conjunction with AM 160. Students cannot receive credit for this course and AM 160. Undergraduate students who are in the SciCAM 4+1 program are strongly encouraged to take AM 261 instead of AM 160.",5 units,5,5,Prerequisite(s): AM 213A. Enrollment is restricted to graduate students. Undergraduates may enroll by permission of instructor.,,261
Winter Quarter 2226,UCSC,AM,Applied Mathematics,Seminar in Applied Mathematical Modeling,Weekly seminar series covering topics of current research in applied mathematics and statistics. Permission of instructor required. Enrollment is restricted to graduate students. (Formerly AMS 280B.) May be repeated for credit.,2 units,2,2,,,280B
Winter Quarter 2226,UCSC,AM,Applied Mathematics,Seminar in Geophysical and Astrophysical Fluid Dynamics,Weekly seminar/discussion group on geophysical and astrophysical fluid dynamics covering both analytical and computational approaches. Participants present research progress and findings in semiformal discussions. Students must present their own research on a regular basis. (Formerly AMS 280C.) May be repeated for credit.,2 units,2,2,Enrollment is restricted to graduate students; undergraduates may enroll by permission of the instructor.,,280C
Winter Quarter 2226,UCSC,ANTH,Anthropology,Introduction to Archaeology,"Overview of ways of learning about the human past beyond the scope of written history. Reviews development of archaeology, fundamental methods and theories, and archaeology's contribution to understanding human origins, the emergence of farming, and the origins of complex societies.",5 units,5,5,,,3
Winter Quarter 2226,UCSC,ANTH,Anthropology,Introduction to Archaeology,"Overview of ways of learning about the human past beyond the scope of written history. Reviews development of archaeology, fundamental methods and theories, and archaeology's contribution to understanding human origins, the emergence of farming, and the origins of complex societies.",5 units,5,5,,,3
Winter Quarter 2226,UCSC,ANTH,Anthropology,Human Evolution,Study of human evolution covering the last five million years. Examines the fossil evidence and emphasizes the reconstruction of behavior from the paleontological and anatomical evidence.,5 units,5,5,Prerequisite(s): ANTH 1.,,101
Winter Quarter 2226,UCSC,ANTH,Anthropology,Methods and Research in Biological Anthropology: Genetics,"Introduces the molecular analyses of anthropological questions and explores the intersection of genetics and anthropology. Covers the basic principles of molecular and population genetics as they relate to the study of humans. Prerequisite(s): ANTH 1 and ANTH 104. ANTH 102A is recommended. Enrollment by permission of instructor. (Formerly ANTH 107, Methods and Research in Molecular Anthropology.)",5 units,5,5,,,107A
Winter Quarter 2226,UCSC,ANTH,Anthropology,Methods and Research in Biological Anthropology: Stable Isotopes,"This combination of lectures, readings, discussions, and hands-on laboratory experience provides a comprehensive overview of stable isotope research to reconstruct diet and mobility. Discover the wide application of isotopic research in biological anthropology, bioarcheology, primatology and forensics. Prerequisite(s): at least one of ANTH 101, ANTH 104, ANTH 106, ANTH 107, or ANTH 110F and by permission of the instructor. (Formerly Methods and Research in Stable Isotope Ecology.)",5 units,5,5,Prerequisite(s): ANTH 101 or ANTH 104 or ANTH 106 or ANTH 107 or ANTH 110F.,,107B
Winter Quarter 2226,UCSC,ANTH,Anthropology,Public Life and Contemporary Issues,"How can cultural anthropology help us to understand current events unfolding locally, nationally, and globally? Students learn how to ""read"" newspapers differently--that is, through the lens of cultural analysis. The world of everyday politics and society, as it unfolds in debates happening right now, forms the topical substance of the course.",5 units,5,5,,,110A
Winter Quarter 2226,UCSC,ANTH,Anthropology,From Indiana Jones to Stonehenge: Archaeology as Popular Culture,"Addresses the ""meaning"" of archaeology as generated in television, movies, literature, newspapers, and even National Geographic. Students engage with several case-studies illustrating how archaeology is portrayed in popular culture.",5 units,5,5,,,110B
Winter Quarter 2226,UCSC,ANTH,Anthropology,Evolution of Human Diet,"Presents the evolution of human diet and subsistence from a biological anthropological perspective. Covers the key hypothesis and methodologies related to diet, from our early fossil ancestors up to agriculture and animal husbandry. (Formerly Biocultural Approaches to Food.)",5 units,5,5,,,110F
Winter Quarter 2226,UCSC,ANTH,Anthropology,India and Indian Diaspora through Film,"Explores several themes of relevance in contemporary India and Indian diaspora, concentrating on anthropological research and various documentary and popular Bollywood films. Through films and ethnographies, students analyze the nature of anthropological contributions to the study of Indian societies. (Formerly ANTH 80P.)",5 units,5,5,,,110P
Winter Quarter 2226,UCSC,ANTH,Anthropology,"Native Feminisms, Gender, and Settler Colonialism","Covers Native feminisms, gender, settler colonialism, and ethnography. Students read ethnographies that intervene in Native feminisms and its possibilities. Focuses on ethnographies in the U.S., including Native men and masculinities in Hawaii.",5 units,5,5,,,130O
Winter Quarter 2226,UCSC,ANTH,Anthropology,Introduction to Design Anthropology,"This hands-on, immersive, collaborative course introduces students to “design anthropology,” a field of research and analysis that integrates ethnographic methods with principles and approaches drawn from the arts, business, science and technology studies, computer science, engineering, and other related fields. The course covers major debates, methods, and professional opportunities in design anthropology through readings, practical exercises, group activities, and a quarter-long research project that will mimic the design process used by professionals. Students work on collaborative research project through all stages from project development to research to analysis to presentation.",5 units,5,5,Prerequisite(s): ANTH 2.,,151D
Winter Quarter 2226,UCSC,ANTH,Anthropology,Survey of Cultural Anthropological Theory,"Major figures, ideas, and writings in 19th- and 20th-century cultural anthropology surveyed. Students cannot receive credit for this course and ANTH 252.",5 units,5,5,Prerequisite(s): ANTH 2 and satisfaction of the Entry Level Writing and Composition requirements; enrollment is restricted to anthropology majors.,,152
Winter Quarter 2226,UCSC,ANTH,Anthropology,California Archaeology,"Introduces the Native peoples of California from an archaeological perspective. Covering the past 13,000 years, a variety of geographic and temporal settings are examined as well as current research in California archaeology.",5 units,5,5,Prerequisite(s): ANTH 3.,,176F
Winter Quarter 2226,UCSC,ANTH,Anthropology,Introduction to Geographic Information Systems for Anthropology,"Practical laboratory in geographic information systems with a specific focus on anthropological questions and development. Students learn basic spatial analyses and carry them out on research datasets. This course also emphasizes the incorporation of spatial modeling in research design. To participate, students are required to sign up for an account in ESRI (freely available to all UCSC students).",5 units,5,5,Enrollment is restricted to anthropology majors. Enrollment is limited to 20 students.,,183
Winter Quarter 2226,UCSC,ANTH,Anthropology,Cultural Resource Management,"Explores how the past is ""managed"" or cared for in the present, especially in the context of the United States.",5 units,5,5,Prerequisite(s): ANTH 3.,,187B
Winter Quarter 2226,UCSC,ANTH,Anthropology,Biological Anthropology Senior Thesis Series: Guided Laboratory Research,"Guides students as they conduct the research projects proposed in ANTH 195A and is intended to promote a collaborative laboratory environment where students can share their progress and discuss problems and results with the group of other participating students and the instructor. This course reinforces the continuous exchange of ideas between students, ensuring that students do not work on individual projects in complete isolation. (Formerly Senior Thesis Research.)",2 units,2,2,Prerequisite(s): ANTH 195A. Enrollment is restricted to senior anthropology majors.,,195B
Winter Quarter 2226,UCSC,ANTH,Anthropology,Imagining America,Explores sites of heritage and the politics of cultural memory in the American context. Focuses on public representation and interpretation at places where multiple views of history come into conflict.,5 units,5,5,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3 and satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior anthropology majors.",,196J
Winter Quarter 2226,UCSC,ANTH,Anthropology,Settler Colonialism,"Provides seniors in anthropology a capstone experience. Settler colonialism is an all-encompassing, land-centered project that revolves around the elimination of the Native. This course revolves around a series of ethnographies and histories about settler colonialism.",5 units,5,5,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3 and satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior anthropology majors.",,196K
Winter Quarter 2226,UCSC,ANTH,Anthropology,Radical Craft,"Examines how making and artisanship can be harnessed to solve challenging social, political, and environmental issues. Examines anthropology's historical role in creating a dichotomy between ''art'' and ''craft,'' as well as contemporary ethnographic work that examines craft practices from weaving to pottery to the creation of mask trees for mutual aid during a time of global pandemic. Weekly topics include research-creation, ''craftivism,'' speculative design, Indigenous art worlds, and responses to the environmental and social ravages of fast fashion. Students select a pressing social problem and then complete a hands-on, craft-based project of their choice; no prior skills or talents are required.",5 units,5,5,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3, and satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior anthropology majors.",,196V
Winter Quarter 2226,UCSC,ANTH,Anthropology,Methods in Biological Anthropology,Deepens students' understanding of methods applied in biological anthropology research. (Formerly Methods in Physical Anthropology.) May be repeated for credit.,5 units,5,5,Enrollment is restricted to graduate students.,,216
Winter Quarter 2226,UCSC,ANTH,Anthropology,Constructing Regions,"Discusses centrality of the idea of ""regions"" in studies of culture, the history of ""locating"" social theory, and debates about area studies. Students develop area of transregional bibliographies. Primarily for second- or third-year anthropology graduate students reading ""area"" literatures.",5 units,5,5,Enrollment is restricted to graduate students.,,229
Winter Quarter 2226,UCSC,ANTH,Anthropology,Introduction to Geographic Information Systems for Anthropology,"Practical laboratory in geographic information systems with a specific focus on anthropological questions and development. Students learn basic spatial analyses and carry them out on research datasets. This course also emphasizes the incorporation of spatial modeling in research design. To participate, students are required to sign up for an account in ESRI (freely available to all UCSC students). Enrollment is restricted to anthropology majors. Enrollment is limited to 20 students.",5 units,5,5,Enrollment is restricted to graduate students.,,283
Winter Quarter 2226,UCSC,ANTH,Anthropology,Advanced Readings in Biological Anthropology,Introduces literature relevant to students' research emphases and allows for discussion of new scientific publications. May be repeated for credit.,5 units,5,5,Enrollment is restricted to graduate students.,,294R
Winter Quarter 2226,UCSC,APLX,Applied Linguistics,Introduction to Applied Linguistics,"Introduces the field of applied linguistics, learning about language acquisition, use, and teaching in multilingual contexts from multiple disciplinary perspectives. Also, introduces research models that examine psycholinguistic, sociolinguistic, and/or educational aspects of multilingualism..",5 units,5,5,,,80
Winter Quarter 2226,UCSC,APLX,Applied Linguistics,Second-Language Acquisition,"Introduces the field of second-language acquisition. Topics include contexts of acquisition, the impact of individual differences, and basic methods of data collection and analysis.",5 units,5,5,Prerequisite(s): APLX 80 or LING 50.,,101
Winter Quarter 2226,UCSC,APLX,Applied Linguistics,Second Language Speech,"Examines themes related to the acquisition of L2 phonetics and phonology, including theories and models of L2 speech learning; phonetics and phonology in L2 acquisition; as well as the training effects on L2 pronunciation.",5 units,5,5,Prerequisite(s): APLX 80 or LING 50.,,103
Winter Quarter 2226,UCSC,APLX,Applied Linguistics,Language and Gender,"Examines the relationship between language and gender. Topics include: gender differences in speech; linguistic gender norms and stereotypes; gender and the construction of identity in discourse; sexuality and language; sexism in language; social, educational, and political implications. (Formerly Languages 112.)",5 units,5,5,,,112
Winter Quarter 2226,UCSC,ARBC,Arabic,First-Year Arabic,"Introduction to Arabic and Arabic-speaking culture with practice in all four language skills: listening, speaking, reading, and writing. Intended for students with no previous study of Arabic as well as heritage speakers.",5 units,5,5,ARBC 1 or equivalent proficiency.,,2
Winter Quarter 2226,UCSC,ART,Art,3D Foundation,"Introduces students to the fundamental principles of three-dimensional art and design. This is a large lecture-based course with smaller art studio-based sections (60% lecture/40% studio). Lecture, discussion, and studio sections explore fundamental 3D concepts, techniques, and technical practices in sculpture, public art, architecture, process, and design. Through lectures, discussion, and studio projects students learn to create and understand complex concepts in 3D.",5 units,5,5,Enrollment is restricted to art majors during first-pass enrollment; restrictions lifted after first pass.,,10E
Winter Quarter 2226,UCSC,ART,Art,Introduction to Print Media and Drawing,"Introduces the methods, materials, and history of printmaking and drawing as a tool for creative exploration. Understanding and development of concepts and skills are achieved through a series of lectures, studio demonstrations and practice, assignments, and critiques.",5 units,5,5,"Prerequisite(s): two courses from ART 10D, ART 10E, ART 10F. Enrollment is restricted to proposed art and art majors.",,20G
Winter Quarter 2226,UCSC,ART,Art,Introduction to Photography,"Introduces basic skills and conceptual development in photography and related digital media through image-making in the field, on the web, and in laboratories, through readings, discussions, and critiques.",5 units,5,5,"Prerequisite(s): two courses from ART 10D, ART 10E, ART 10F. Enrollment is restricted to proposed art and art majors.",,20I
Winter Quarter 2226,UCSC,ART,Art,Introduction to Drawing and Painting,"Introduces the practices of drawing and painting in combination with the formal vocabulary of the visual arts. A discussion of values, form, color, and figure/ground relationships enters into each class.",5 units,5,5,"Prerequisite(s): two courses from ART 10D, ART 10E, ART 10F. Enrollment is restricted to proposed art and art majors.",,20J
Winter Quarter 2226,UCSC,ART,Art,Introduction to New Media and Digital Artmaking,"Introduces digital and new media art practice. Explores the use of the computer as tool and medium. Provides a hands-on introduction to the fundamentals of graphics; digital-image acquisition and manipulation; video; web design; and computer programming. Lectures, readings, and discussions examine the history of technology artwork and technology's relationship to contemporary culture.",5 units,5,5,"Prerequisite(s): two courses from ART 10D, ART 10E, ART 10F. Enrollment is restricted to proposed art and art majors.",,20K
Winter Quarter 2226,UCSC,ART,Art,Digital Tools for Contemporary Art Practice,"Introduction to the digital tools and mediums available to contemporary art practices. Tools are explored from a historical and theoretical context and from a technical perspective through hands-on tutorials. A variety of artworks that utilize digital mediums are also examined. Weekly projects centered around these tools are completed and are the focus of peer discussions and reviews. The course covers photo and vector editors, sound and video editing, and basic 3D modeling and animation.",5 units,5,5,,,80T
Winter Quarter 2226,UCSC,ART,Art,3D Modeling and Animation,"Independent and collaborative creative projects using advanced computer methods. May include networking projects, virtual representations, interactive multimedia, installation, performance, 3D modeling and animation, or robotics. Emphasis on advanced critical and experimental approaches to computers as a unique art medium, and contemporary research issues. Students are required to enroll in scheduled lab section. May be repeated for credit.",5 units,5,5,"Prerequisite(s): Three courses from: ART 15, ART 20G, ART 20H, ART 20I, ART 20J, ART 20K, ART 20L, ART 26; or by permission of instructor. Enrollment is restricted to art majors.",,106E
Winter Quarter 2226,UCSC,ART,Art,Immersive Nonfiction,"Focuses on nonfiction creative storytelling using animation and new immersive media technology: augmented reality (AR), mixed reality (MR), locative media, and other technologies. Studio class teaches artmaking tools, skills, production and practices using immersive technologies. Students learn the process of developing nonfiction creative stories and documentaries through collaboration, personal narrative, community experiences, historical narrative and location-based storytelling. May be repeated for credit.",5 units,5,5,"Prerequisite(s): Art 80T, plus three courses from: ART 15, ART 20G, ART 20H, ART 20I, ART 20J, ART 20K, ART 20L, ART 26; or by permission of instructor. Enrollment restricted to sophomores, juniors, and seniors.",,106G
Winter Quarter 2226,UCSC,ART,Art,Special Topics in Media Art,"Focuses on a wide range of media and time-based artmaking, which can include video art, interactive media, animation, VR/XR/AR, video installation, design and other 4D production and research. Special topics as announced. May be repeated for credit.",5 units,5,5,"Prerequisite(s): Three courses from: ART 15, ART 20G, ART 20H, ART 20I, ART 20J, ART 20K, or ART 20L. Enrollment is restricted to art majors.",,109
Winter Quarter 2226,UCSC,ART,Art,Figure Drawing,Focuses on drawing from the human figure and exploring the figure for the purpose of personal expression and social communication. Intended for the intermediate/advanced drawing student. May be repeated for credit.,5 units,5,5,"Prerequisite(s): ART 15 or ART 20L or ART 20J; and two from ART 20G, ART 20H, ART 20I, ART 20K; or by permission of instructor. Enrollment is restricted to art majors.",,111
Winter Quarter 2226,UCSC,ART,Art,Intermediate/Advanced Painting,"Continuation of the development of a basic foundation in painting with emphasis on the development of individual, experimental procedures. A foundation in drawing is recommended. May be repeated for credit.",5 units,5,5,"Prerequisite(s): One from ART 20J, ART 133, ART 137, ART 138, ART 139; and two non-painting lower-division studios from ART 15, ART 20G, ART 20H, ART 20I, ART 20K, ART 20L, ART 26. A foundation in drawing is recommended. Enrollment is restricted to art majors.",,130
Winter Quarter 2226,UCSC,ART,Art,Abstract Painting,"Exploration of abstract painting through studio work, lectures, and critiques with emphasis on progressive abstraction, minimalism, op art, and abstract expressionism as well as other 20th-century and 21st-century forms. A foundation in drawing is recommended. May be repeated for credit.",5 units,5,5,"Prerequisite(s): One from ART 20J, ART 20L, ART 130, ART 137, ART 138, ART 139; and two non-painting lower-division studios from ART 15, ART 20G, ART 20H, ART 20I, ART 20K, ART 26. Enrollment is restricted to art majors.",,133
Winter Quarter 2226,UCSC,ART,Art,Digital Painting,"Gives students a comprehensive understanding of the digital painting, from basic techniques, to new media art and industry application, to how these programs operate. Studies and assignments develop and expand skills of digital paint application. Students build a cumulative digital portfolio of all of the studies and assignments completed throughout the course. May be repeated for credit.",5 units,5,5,,,135
Winter Quarter 2226,UCSC,ART,Art,Project Development in Photography,"Concentrates on photographic project development, developing analytical skills designed to help direct students' own photographic ideas. Helps students create a conceptual theoretical framework through image-making in the field and studio, through critique and discussion, through readings, and by studying the work of artists. May be repeated for credit.",5 units,5,5,"Prerequisite(s): One course from ART 20I; and two non-photography lower-division art studios from ART 15, ART 20G, ART 20H, ART 20J, ART 20K, ART 20L, ART 26. Enrollment is restricted to art majors.",,156
Winter Quarter 2226,UCSC,ART,Art,Special Topics in Photography,"Special studies in photography, concentrating on specific subject matter or media. Topics may include documentary photography, landscape, alternative processes, or mixed media. May be repeated for credit.",5 units,5,5,"Prerequisite(s): ART 20I, and two courses from ART 15, ART 20G, ART 20H, ART 20J, ART 20K, ART 20L, ART 26. Enrollment is restricted to art majors.",,159
Winter Quarter 2226,UCSC,ART,Art,Screenprinting,"Introduces water-based screen printing. Students are introduced to processes including basic equipment, printing techniques, printing papers, stenciling processes, and photographic and digital techniques. Emphasis is on continued development of content and aesthetic awareness through the possibilities of screen printing.",5 units,5,5,"Prerequisites: ART 20G or ART 26 and two non-print lower-division media studios from ART 15, ART 20H, ART 20I, ART 20J, ART 20K, ART 20L. Enrollment is restricted to art majors.",,164A
Winter Quarter 2226,UCSC,ART,Art,Photo-Based Printmaking,"Intermediate/advanced studio course exploring the processes, history, and the recent developments in contemporary photomechanical printmaking. Through experimentation and research students learn how to utilize photographic imagery, blending them in multiple layers and colors, thereby facilitating articulation of their conceptual foundations. May be repeated for credit.",5 units,5,5,"Prerequisites: ART 20G or ART 26 and two non-print lower-division media studios from ART 15, ART 20H, ART 20I, ART 20J, ART 20K, ART 20L. Enrollment is restricted to art majors.",,168
Winter Quarter 2226,UCSC,ART,Art,"Public Art: Memory, Landscape, and Artist as Activist","In-depth exploration of art in the public sphere. Students build an understanding of public art sparked by practical experience designing and developing projects. Theoretical aspects of contemporary public art, and an introduction to the range of current public art practices will be introduced through readings, lectures, and artist's talks. The combination of practical hands-on technique and theoretical ideology will enable students to fully develop their own project within the class. May be repeated for credit.",5 units,5,5,Enrollment is restricted to juniors and seniors.,,172
Winter Quarter 2226,UCSC,ART,Art,Intermediate/Advanced Sculpture,"More advanced fabrication techniques in sculpture using wood, metal, industrial, and other materials. Techniques include carpentry and woodshop skills, and an introduction to sculptural forms, processes, and ideas. Demonstrations, slide lectures, and critical discussion of work help develop technical and conceptual skills. (Formerly ART 180B, Sculpture II.) May be repeated for credit.",5 units,5,5,"Prerequisite(s): One course from ART 20H, ART 120, ART 121, ART 122, ART 124, ART 125, ART 129, ART 172, ART 183, ART 188, or ART 189; and two non-sculpture/intermedia/public art lower-division studios from ART 15, ART 20G, ART 20I, ART 20J, ART 20K, ART 20L, ART 26. Enrollment is restricted to art majors.",,180B
Winter Quarter 2226,UCSC,ART,Art,Special Topics in Sculpture,"Special topics in sculpture as announced, concentrating on specific aspects of subject matter and media. May be repeated for credit.",5 units,5,5,"Prerequisite(s): One course from ART 20H, ART 120, ART 121, ART 122, ART 124, ART 125, ART 129, ART 172, ART 175, ART 180B, ART 183, ART 188; and two non-sculpture/intermedia/public art lower-division studios from ART 15, ART 20G, ART 20I, ART 20J, ART 20K, ART 20L, ART 26. Enrollment is restricted to art majors.",,189
Winter Quarter 2226,UCSC,ART,Art,Writing for Artists,"Provides practice in using writing as a tool to support creative work--to generate ideas, to critically analyze and interpret artworks, and to communicate clearly with others about one's own work. Lectures, discussions, and visiting artist talks introduce and explore contemporary art contexts, ideas, discourses, artworks, artists, and practices to build students' capacities to place their work in the world. Readings introduce and unfold ideas for discussion, and provide examples of writing formats and purposes as they relate to art practice.",5 units,5,5,Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to junior and senior art majors.,,190A
Winter Quarter 2226,UCSC,ART,Art,Forms and Ideas,"A non-media specific class introducing a range of contemporary visual practices, contexts, issues, forms, and UCSC resources of use to artists, emphasizing relationships between material, form, meaning and between private expression, public communication, and systems of exchange.",5 units,5,5,Enrollment is restricted to junior and senior art majors. Strongly recommended for junior transfer art majors.,,194
Winter Quarter 2226,UCSC,ART,Art,Practice-Based Research Group: Systems,"The second in the required core course sequence taken by students in the first year of the environmental art and social practice M.F.A. The sequence offers students a graduated learning opportunity to engage in practice-based research in the field. The concept of practice-based research involves ""an original investigation undertaken in order to gain new knowledge partly by means of practice and the outcomes of that practice."" (Sydney) Students develop their research through the lens of systems and relationships.",5 units,5,5,Prerequisite(s): ART 210A. Enrollment is restricted to graduate students.,,210B
Winter Quarter 2226,UCSC,ART,Art,Theory and Practice,First- or second-year graduate seminar focusing on contemporary theory as it relates to social and environmental art practice.,5 units,5,5,Prerequisite(s): ART 220. Enrollment is restricted to graduate students.,,230
Winter Quarter 2226,UCSC,ART,Art,MFA Project Production,"Students produce their final project in conjunction with refining and completing their written thesis. Critique, tutorials, and directed study in writing and studio production leads to the presentation of their project.",5 units,5,5,Prerequisite(s): ART 270A and ART 270B. Enrollment is restricted to graduate students.,,280
